key,en,ru,de,fr
GRAND_STRATEGY,G R A N D   S T R A T E G Y,Г Л О Б А Л Ь Н А Я   С Т Р А Т Е Г И Я,G R A N D   S T R A T E G I E,G R A N D E   S T R A T É G I E
NEW_GAME,New game,Новая игра,Neues Spiel,Nouvelle partie
CONTINUE,Continue,Продолжить,Fortsetzen,Continuer
LOAD_GAME,Load game,Загрузить игру,Spiel laden,Charger la partie
SETTINGS,Settings,Настройки,Einstellungen,Paramètres
EXIT,Exit,Выход,Beenden,Quitter
SETTINGS_TITLE,Settings,Настройки,Einstellungen,Paramètres
TAB_GRAPHICS,Graphics,Графика,Grafik,Graphismes
TAB_INTERFACE,Interface,Интерфейс,Benutzeroberfläche,Interface
TAB_GAMEPLAY,Gameplay,Игровой процесс,Spielmechanik,Jouabilité
TAB_SOUND,Sound,Звук,Ton,Son
TAB_CONTROLS,Controls,Управление,Steuerung,Commandes
BTN_RESET,Reset,Сбросить,Zurücksetzen,Réinitialiser
BTN_SAVE,Save,Сохранить,Speichern,Enregistrer
BTN_BACK,Back,Назад,Zurück,Retour
GRAPHICS_SCREEN_RES,Screen resolution,Разрешение экрана,Bildschirmauflösung,Résolution de l'écran
GRAPHICS_WINDOW_MODE,Window mode,Оконный режим,Fenstermodus,Mode fenêtré
GRAPHICS_WINDOW_FULLSCREEN,Fullscreen,Полноэкранный,Vollbild,Plein écran
GRAPHICS_VSYNC,Vertical sync (VSync),Вертикальная синхронизация,Vertikale Synchronisation (VSync),Synchronisation verticale (VSync)
GRAPHICS_FPS_LIMIT,FPS limit,Ограничение FPS,FPS-Begrenzung,Limite d'IPS
GRAPHICS_UNLIMITED,Unlimited,Без ограничений,Unbegrenzt,Illimité
INTERFACE_UI_SCALE,UI scale,Масштаб интерфейса,UI-Skalierung,Échelle de l'interface
INTERFACE_LANGUAGE,Interface language,Язык интерфейса,Sprache der Benutzeroberfläche,Langue de l'interface
GAMEPLAY_AUTOPAUSE_WAR,Auto-pause on declaration of war,Автопауза при объявлении войны,Automatische Pause bei Kriegserklärung,Pause automatique lors d'une déclaration de guerre
GAMEPLAY_AUTOSAVE,Autosave (days\ 0 = off),Автосохранение (дни\ 0 = выкл),Automatisches Speichern (Tage\ 0 = aus),Sauvegarde automatique (jours\ 0 = désactivée)
SOUND_MASTER,Master volume,Общая громкость,Gesamtlautstärke,Volume principal
SOUND_MUSIC,Music,Музыка,Musik,Musique
SOUND_EFFECTS,Sound effects,Звуковые эффекты,Soundeffekte,Effets sonores
SOUND_UI,UI sounds,Звуки интерфейса,UI-Sounds,Sons de l'interface
KEYBIND_HEADER,Key bindings,Назначение клавиш,Tastenbelegung,Raccourcis clavier
KEYBIND_ZOOM_IN,Zoom in,Приблизить,Vergrößern,Zoom avant
KEYBIND_ZOOM_OUT,Zoom out,Отдалить,Verkleinern,Zoom arrière
KEYBIND_PAUSE,Pause,Пауза,Pause,Pause
KEYBIND_BUILD_FACTORY,Build factory,Построить фабрику,Fabrik bauen,Construire une usine
KEYBIND_BUILD_FORTIFICATION,Build fortification,Построить укрепление,Befestigung bauen,Construire une fortification
KEYBIND_SUMMON_TROOPS,Summon troops,Призвать войска,Truppen ausheben,Lever des troupes
KEYBIND_SUMMON_MAX_TROOPS,Summon max troops in province,Призвать макс. войск в провинции,Max. Truppen in Provinz ausheben,Lever le max. de troupes dans la province
KEYBIND_HIDE_UI,Hide UI,Скрыть интерфейс,UI ausblenden,Masquer l'interface
KEYBIND_HIDE_DIVISIONS,Hide all divisions,Скрыть все дивизии,Alle Divisionen ausblenden,Masquer toutes les divisions
KEYBIND_HIDE_COUNTRY_LABELS,Hide country labels,Скрыть названия стран,Länderbezeichnungen ausblenden,Masquer les noms des pays
INPUT_WHEEL_UP,Wheel Up,Колёсико вверх,Rad nach oben,Molette vers le haut
INPUT_WHEEL_DOWN,Wheel Down,Колёсико вниз,Rad nach unten,Molette vers le bas
INPUT_SPACE,Space,Пробел,Leertaste,Espace
INPUT_TAB,Tab,Tab,Tab,Tab
PRESS_KEY, Press a key..., Нажмите кнопку..., Taste drücken...,Appuyez sur une touche...
WINDOW_MODE, Window mode, Режим окна, Fenstermodus,Mode fenêtré
WINDOWED, Windowed, Оконный, Fenster,Fenêtré
FULLSCREEN, Fullscreen, Полноэкранный, Vollbild,Plein écran
BORDERLESS_WINDOW, Borderless window, Окно без рамки, Randloses Fenster,Fenêtre sans bordure
RESET_SETTINGS_BUTTON, Reset, Сбросить, Zurücksetzen,Réinitialiser
SAVE_SETTINGS_BUTTON, Save, Сохранить, Speichern,Enregistrer
BACK_SETTINGS_BUTTON, Back, Назад, Zurück,Retour
AFGHANISTAN,Afghanistan,Афганистан,Afghanistan,Afghanistan
ALBANIA,Albania,Албания,Albanien,Albanie
ALGERIA,Algeria,Алжир,Algerien,Algérie
AMERICAN VIRGIN ISLANDS,American Virgin Islands,Американские Виргинские Острова,Amerikanische Jungferninseln,Îles Vierges américaines
ANGOLA,Angola,Ангола,Angola,Angola
ANGUILLA,Anguilla,Ангилья,Anguilla,Anguilla
ANTIGUA AND BARBUDA,Antigua and Barbuda,Антигуа и Барбуда,Antigua und Barbuda,Antigua-et-Barbuda
ARGENTINA,Argentina,Аргентина,Argentinien,Argentine
ARMENIA,Armenia,Армения,Armenien,Arménie
ARUBA,Aruba,Аруба,Aruba,Aruba
AUSTRALIA,Australia,Австралия,Australien,Australie
AUSTRIA,Austria,Австрия,Österreich,Autriche
AZERBAIJAN,Azerbaijan,Азербайджан,Aserbaidschan,Azerbaïdjan
BAHAMAS,Bahamas,Багамы,Bahamas,Bahamas
BANGLADESH,Bangladesh,Бангладеш,Bangladesch,Bangladesh
BARBADOS,Barbados,Барбадос,Barbados,Barbade
BELARUS,Belarus,Беларусь,Belarus,Biélorussie
BELGIUM,Belgium,Бельгия,Belgien,Belgique
BELICE,Belice,Белиз,Belize,Belize
BENIN,Benin,Бенин,Benin,Bénin
BHUTAN,Bhutan,Бутан,Bhutan,Bhoutan
BOLIVIA,Bolivia,Боливия,Bolivien,Bolivie
BONAIRE,Bonaire,Бонайре,Bonaire,Bonaire
BOSNIA,Bosnia,Босния,Bosnien,Bosnie
BOTSWANA,Botswana,Ботсвана,Botsuana,Botswana
BRAZIL,Brazil,Бразилия,Brasilien,Brésil
BRITISH VIRGIN ISLANDS,British Virgin Islands,Британские Виргинские Острова,Britische Jungferninseln,Îles Vierges britanniques
BRUNEI,Brunei,Бруней,Brunei,Brunei
BULGARIA,Bulgaria,Болгария,Bulgarien,Bulgarie
BURKINA FASO,Burkina Faso,Буркина-Фасо,Burkina Faso,Burkina Faso
BURUNDI,Burundi,Бурунди,Burundi,Burundi
CAMBODIA,Cambodia,Камбоджа,Kambodscha,Cambodge
CAMEROON,Cameroon,Камерун,Kamerun,Cameroun
CANADA,Canada,Канада,Kanada,Canada
CENTRAL AFRICAN REPUBLIC,Central African Republic,Центральноафриканская Республика,Zentralafrikanische Republik,République centrafricaine
CHAD,Chad,Чад,Tschad,Tchad
CHILE,Chile,Чили,Chile,Chili
CHINA,China,Китай,China,Chine
COLUMBIA,Columbia,Колумбия,Kolumbien,Colombie
COMOROS,Comoros,Коморы,Komoren,Comores
COSTA RICA,Costa Rica,Коста-Рика,Costa Rica,Costa Rica
